"","lagoslakeid","nhdid","gnis_name","nhd_lat","nhd_long","lake_area_ha","lake_perim_meters","nhd_fcode","nhd_ftype","iws_zoneid","hu4_zoneid","hu6_zoneid","hu8_zoneid","hu12_zoneid","edu_zoneid","county_zoneid","state_zoneid"
"95057",95171,"155069091","Little Lewis Lake",42.144651,-91.807127,15.06087444,5524.0616,39004,390,"IWS_3199","HU4_57","HU6_78","HU8_398","HU12_2955","EDU_23","County_288","State_13"
"96089",96203,"152594263","Long Pond",40.704174,-91.129421,3.501004241,1971.5872,39004,390,NA,"HU4_57","HU6_82","HU8_410","HU12_3347","EDU_61","County_220","State_13"
"96109",96223,"137047004","Sugar Creek Lake",41.555098,-93.854079,3.212644723,904.9828,39004,390,NA,"HU4_56","HU6_79","HU8_417","HU12_3210","EDU_74","County_217","State_13"
"97336",97450,"154666964","Schenck Lake",40.729601,-95.016206,9.228895463,1191.0134,39004,390,"IWS_6982","HU4_63","HU6_86","HU8_424","HU12_2634","EDU_54","County_267","State_13"
"98164",98278,"133527447","Dean Lake",41.588155,-93.577299,3.482018765,1209.593,39004,390,NA,"HU4_56","HU6_79","HU8_405","HU12_3418","EDU_61","County_271","State_13"
"98353",98467,"132544473","Dan Green Slough",43.223869,-95.003315,112.5675548,9318.1906,39004,390,"IWS_37763","HU4_61","HU6_87","HU8_419","HU12_19550","EDU_4","County_214","State_13"
"99168",99282,"152592590","Ray Lake",41.003376,-90.990028,6.095456753,1526.7552,39004,390,"IWS_2976","HU4_57","HU6_82","HU8_410","HU12_18952","EDU_61","County_220","State_13"
"100137",100251,"155588337","Backbone Lake",42.608129,-91.546416,41.01419925,10257.5684,39004,390,"IWS_30506","HU4_59","HU6_81","HU8_385","HU12_3296","EDU_84","County_246","State_13"
"100371",100485,"107255467","Water Works Lake",40.896227,-94.555093,3.563591823,740.6404,39004,390,NA,"HU4_63","HU6_86","HU8_484","HU12_2866","EDU_54","County_297","State_13"
"102201",102315,"155097026","Rainbow Lake",41.893868,-92.428117,3.122588087,1038.2196,39004,390,NA,"HU4_57","HU6_78","HU8_401","HU12_3041","EDU_23","County_296","State_13"
"102202",102316,"154319550","Muskrat Lake",41.206716,-91.200442,12.10934712,3012.5432,39004,390,"IWS_3135","HU4_57","HU6_78","HU8_402","HU12_3113","EDU_23","County_289","State_13"
"103212",103326,"155096167","Sportsman Lake",42.012149,-92.684509,13.29643961,2307.9635,39004,390,"IWS_3144","HU4_57","HU6_78","HU8_401","HU12_3028","EDU_23","County_296","State_13"
"104246",104360,"155069127","Big Lewis Lake",42.135639,-91.796535,10.71282226,3796.3337,39004,390,"IWS_3149","HU4_57","HU6_78","HU8_398","HU12_2955","EDU_23","County_288","State_13"
"104265",104379,"152139395","West Twin Lake",42.936836,-93.733179,42.50189736,2490.8202,39009,390,"IWS_31931","HU4_57","HU6_78","HU8_400","HU12_9758","EDU_23","County_248","State_13"
"104478",104592,"147258632","Lower City Reservoir",40.714575,-92.883353,11.93442502,2393.2354,39004,390,"IWS_7091","HU4_62","HU6_84","HU8_425","HU12_2932","EDU_20","County_212","State_13"
"105307",105421,"130643057","Rice Lake",43.389823,-93.496385,360.5026464,23201.3582,39004,390,"IWS_31864","HU4_57","HU6_78","HU8_356","HU12_9629","EDU_23","County_208","State_13"
"105516",105630,"74255848","Hanthorn Lake",41.337528,-95.908382,1.281827749,759.1419,39004,390,NA,"HU4_61","HU6_87","HU8_476","HU12_2668","EDU_54","County_272","State_13"
"106348",106462,"133527984","Randleman Lake",41.530123,-93.464623,4.547761753,1521.2103,39004,390,"IWS_3424","HU4_56","HU6_79","HU8_405","HU12_3418","EDU_61","County_271","State_13"
"106526",106640,"129557256","Mile Hill Lake",41.045607,-95.782796,4.080355669,1781.1207,39004,390,"IWS_7043","HU4_63","HU6_86","HU8_478","HU12_2555","EDU_54","County_261","State_13"
"107383",107497,"133551174","Q Pond",41.042233,-93.780073,9.094766702,1687.6716,39004,390,"IWS_3443","HU4_56","HU6_79","HU8_405","HU12_3273","EDU_61","County_213","State_13"
"107591",107705,"70916722","Big G Lake",40.614108,-93.92162,2.793015619,814.8647,39004,390,NA,"HU4_62","HU6_85","HU8_485","HU12_18773","EDU_20","County_219","State_13"
"108342",108456,"152753701","Zerbel Slough",43.049895,-93.346746,18.25381373,2113.7525,39004,390,"IWS_31892","HU4_57","HU6_78","HU8_397","HU12_9646","EDU_23","County_244","State_13"
"109381",109495,"155588606","Hartwick Lake",42.423761,-91.383585,204.7936802,46386.2751,39004,390,"IWS_30441","HU4_59","HU6_81","HU8_385","HU12_3300","EDU_84","County_246","State_13"
"109409",109523,"152819573","Walton Lake",41.014364,-91.933733,17.05063356,3151.8989,39004,390,"IWS_3002","HU4_57","HU6_82","HU8_396","HU12_2765","EDU_61","County_283","State_13"
"109605",109719,"129557369","Keg Creek Lake",40.985712,-95.803877,22.07139699,2505.2166,39004,390,"IWS_6869","HU4_63","HU6_86","HU8_478","HU12_2673","EDU_54","County_261","State_13"
"109627",109741,"70913520","Old Reservoir",40.726934,-94.22644,4.652052864,1039.6089,39004,390,"IWS_7246","HU4_62","HU6_85","HU8_485","HU12_2881","EDU_20","County_291","State_13"
"110426",110540,"132562362","Koch Lake",41.708537,-91.099397,2.328020302,927.8551,39004,390,NA,"HU4_57","HU6_78","HU8_399","HU12_2981","EDU_23","County_238","State_13"
"110432",110546,"155067042","Railroad Lake",42.580624,-92.503205,5.481475634,1506.3562,39004,390,"IWS_31949","HU4_57","HU6_78","HU8_398","HU12_2800","EDU_23","County_230","State_13"
"110452",110566,"133551486","Grade Lake",41.022833,-93.771319,10.12467588,1948.5581,39004,390,"IWS_3425","HU4_56","HU6_79","HU8_405","HU12_3291","EDU_61","County_213","State_13"
"111453",111567,"122940179","Walden Pond",43.142863,-91.650184,1.769386326,600.6825,39004,390,NA,"HU4_59","HU6_81","HU8_371","HU12_9707","EDU_13","County_206","State_13"
"111703",111817,"132545228","Petes Pond",43.137237,-95.132416,2.703042902,671.8367,39004,390,NA,"HU4_61","HU6_87","HU8_419","HU12_9300","EDU_4","County_214","State_13"
"112754",112868,"107255473","Maharry Lake",40.893724,-94.553782,3.552416378,1303.2834,39004,390,NA,"HU4_63","HU6_86","HU8_484","HU12_2866","EDU_54","County_297","State_13"
"112768",112882,"147257463","Mystic Reservoir",40.791031,-92.94699,2.54442666,789.436,39004,390,NA,"HU4_62","HU6_84","HU8_425","HU12_2930","EDU_20","County_212","State_13"
"113468",113582,"145756577","Northeast Lake",41.526973,-90.676296,3.886069669,1138.9575,39004,390,NA,"HU4_57","HU6_82","HU8_390","HU12_5227","EDU_57","County_255","State_13"
"114508",114622,"152139478","Elm Lake",42.764773,-93.680111,135.7669789,6777.628,39009,390,"IWS_31860","HU4_57","HU6_78","HU8_400","HU12_9765","EDU_23","County_209","State_13"
"115482",115596,"120020687","Smith Pool",43.252394,-94.138623,139.6776853,7830.117,39004,390,"IWS_26667","HU4_53","HU6_75","HU8_351","HU12_9698","EDU_41","County_287","State_13"
"115620",115734,"155017706","Diamondhead Lake",41.550893,-94.259265,38.81251858,6244.6319,39004,390,"IWS_3444","HU4_56","HU6_79","HU8_418","HU12_3233","EDU_74","County_273","State_13"
"115622",115736,"137027854","Lizard Lake",42.672712,-94.494401,110.7926102,4957.478,39004,390,"IWS_32254","HU4_56","HU6_79","HU8_403","HU12_18897","EDU_74","County_270","State_13"
"117628",117742,"132445182","Wood Duck Slough",42.696873,-90.987555,115.5699866,31722.8761,39004,390,"IWS_30508","HU4_59","HU6_81","HU8_383","HU12_18953","EDU_65","County_215","State_13"
"117669",117783,"155097496","Twin Lake",41.816945,-91.626186,1.610085448,879.2468,39009,390,NA,"HU4_57","HU6_78","HU8_401","HU12_3060","EDU_23","County_284","State_13"
"118748",118862,"152594084","Patterson Lake",40.730811,-91.139962,11.43918433,2574.5407,39009,390,"IWS_3140","HU4_57","HU6_82","HU8_410","HU12_3347","EDU_61","County_220","State_13"
"118970",119084,"70913130","Loch Ayr",40.747034,-94.238466,31.95359933,4274.9827,39004,390,"IWS_7247","HU4_62","HU6_85","HU8_485","HU12_2881","EDU_20","County_291","State_13"
"119796",119910,"155069136","Williams Lake",42.135126,-91.775346,3.728119548,1098.3663,39004,390,NA,"HU4_57","HU6_78","HU8_398","HU12_2955","EDU_23","County_288","State_13"
"120900",121014,"133551735","Lake Morris",41.008654,-93.247047,52.39139377,6106.4192,39004,390,"IWS_3420","HU4_56","HU6_79","HU8_405","HU12_3409","EDU_61","County_251","State_13"
"121104",121218,"132542983","Marble Lake",43.474052,-95.134299,67.05435767,5195.1147,39004,390,"IWS_37691","HU4_61","HU6_87","HU8_419","HU12_9321","EDU_4","County_221","State_13"
"122952",123066,"152818904","Spring Pond",41.06285,-91.724925,3.054519211,1139.4561,39004,390,NA,"HU4_57","HU6_82","HU8_396","HU12_2774","EDU_61","County_283","State_13"
"122984",123098,"137028989","Brenton Slough",41.726142,-93.803095,24.99288546,4993.6738,39004,390,"IWS_3392","HU4_56","HU6_79","HU8_403","HU12_3151","EDU_74","County_271","State_13"
"123185",123299,"129557706","Forneys Lake",40.854414,-95.780334,161.0688899,6828.2263,39004,390,"IWS_6933","HU4_63","HU6_86","HU8_478","HU12_2558","EDU_54","County_226","State_13"
"124006",124120,"130698456","Hawks Ponds",43.466724,-91.782188,1.175725119,494.179,39004,390,NA,"HU4_59","HU6_81","HU8_372","HU12_9720","EDU_13","County_206","State_13"
"124035",124149,"155096535","Cherry Lake",41.961329,-92.585986,12.29290814,2109.7091,39004,390,"IWS_3086","HU4_57","HU6_78","HU8_401","HU12_3041","EDU_23","County_296","State_13"
"124251",124365,"132542960","East Hottes Lake",43.481452,-95.131995,28.87280316,2923.1911,39004,390,"IWS_37731","HU4_61","HU6_87","HU8_419","HU12_9321","EDU_4","County_221","State_13"
"125302",125416,"88308566","California Cutoff",41.571194,-96.074065,9.33156522,3860.8189,39004,390,"IWS_6765","HU4_61","HU6_87","HU8_474","HU12_2665","EDU_4","County_276","State_13"
"126300",126414,"132542977","West Hottes Lake",43.479976,-95.144997,91.42376851,7608.3575,39004,390,"IWS_37698","HU4_61","HU6_87","HU8_419","HU12_9321","EDU_4","County_221","State_13"
"126327",126441,"147258194","Corydon Lake",40.753454,-93.335209,16.63261965,2723.7806,39004,390,"IWS_7235","HU4_62","HU6_84","HU8_425","HU12_2914","EDU_20","County_203","State_13"
"127146",127260,"155097651","Middle Pond",41.810195,-91.907937,3.536754328,1216.9464,39004,390,NA,"HU4_57","HU6_78","HU8_401","HU12_3054","EDU_23","County_281","State_13"
"127949",128063,"129557157","Tree Lake",41.13089,-95.78063,1.935383978,813.3701,39004,390,NA,"HU4_63","HU6_86","HU8_478","HU12_2555","EDU_54","County_261","State_13"
"130070",130184,"154654318","Grell Pond",42.373381,-95.50054,4.127788604,1411.1999,39004,390,"IWS_6729","HU4_61","HU6_87","HU8_420","HU12_2502","EDU_4","County_280","State_13"
